City,Desert,Swamp,Forest,Cold,Hot,Close to water,Underwater,Countryside,Goblin,Oasis,None
Elven Fortress Gate,"	Frozen Desert",Southern Swamp Entrance,Northern Forest,Halls of the Elf King,Southeast Path to the Counts Fortress,Coast Crossroad,Northern Underwater Village Entry,Hay stack,"	Goblin Stronghold",Great Oasis,The Counts Fortress Gate
Frozen Square,"	Desert Village",Western Swamp Entrance,Edge of the Forest,Frozen Square,Northern Entrance to the Counts Fortress,Harbor Slum,gorge of death,Village Blacksmith,Goblin Path,,Bridge over the Magma Pit
Halls of the Elf King,Desert Crossroad,mold swamp,Southern Forest,Mountain Passage,Dwarven Forges,"	Harbor",Underwater cave,The barn,"	Goblin Drawbridge",,Flame Soldier Casern
Houses of the Poor,Southern Desert Border,cold swamp spring,Forest Peaks,"	Elven Fortress Gate",Southern Path to the Counts Fortress,"	Ship that never leaves",Western Underwater Village Entry,Village Fields,Goblin Barracks,,Burning Fortress Square
City Guard Barracks,Great Desert Road,swamp of death,Forest Center,Snowy Plains,Eastern Path to the Counts Fortress,"	fish shop",sea urchin plain,Grain Storage,"	Goblin Fortress Gate",,"	The Counts Treasury"
City Blacksmith,Desert Fortress Gate,"	Swamp village",Covered Forest,Torn Village,Burning Crossroad,,algae market,The Stables,Goblin Practice Area,,"Soldiers Entrance to the Counts Hall
	"
Guild Houses,Desert Fortress Citadel,"	Quick Sand Pool",Druid Hut,Frozen Forest,Burning Road,,fishy's hotel,"	Farmer House",Execution Spot,,"	The Counts Hall"
Randal Square,Eastern Desert Border,"	hot swamp spring",Forest Training Area,"	Dwarven Market",,,,"	Village Well",Main Tower Entrance,,Second Floor of the Counts Hall
"	City Hall",,foggy swamp,Frozen Forest,Dwarven Fortress Gate,,,,Iris Town Road,Goblin Fortress Kitchen,,The Counts Keep
"	Town Square",,Eastern Swamp Entrance,,Halls of the Dwarf King,,,,"	Village Gate",Throne of the Goblin King,,Void
Eastern Town Gate,,"	deep swamp",,"	Frozen Desert",,,,"	Animal Pens",,,Void Island
Houses of the Rich,,"	fishing place",,"	Igloo Village",,,,Farm Well,,,
"	Southern Town Gate",,,,"	Forgotten Village",,,,"	Bonny Stream",,,
City Market,,,,Western Frozen Road,,,,West Forest Road,,,
City Doctor,,,,Frozen Road,,,,Main City Road,,,
"	Eastern Outpost Gate",,,,Freezing Crossroad,,,,Western South Road,,,
"	Dwarven Market",,,,"	Frozen Lake",,,,﻿Abandoned Village,,,
Dwarven Forges,,,,,,,,Void Path,,,
Dwarven Fortress Gate,,,,,,,,"	Torn Village",,,
Halls of the Dwarf King,,,,,,,,"	Desert Village",,,
Desert Fortress Gate,,,,,,,,Great Desert Road,,,
Desert Fortress Citadel,,,,,,,,"	Main Southern Road",,,
Harbor Castle Gate,,,,,,,,Great Crossroad,,,
mayor's bedroom,,,,,,,,"	Igloo Village",,,
hall,,,,,,,,"	Forgotten Village",,,
library,,,,,,,,Western Frozen Road,,,
"	mayor's office",,,,,,,,Frozen Road,,,
Old Town,,,,,,,,Freezing Crossroad,,,
Eastern Town,,,,,,,,,,,
"	Town Market",,,,,,,,,,,
"	Town Market",,,,,,,,,,,
Town Center,,,,,,,,,,,
Southern Town,,,,,,,,,,,
Town Slums,,,,,,,,,,,
Iris Town Gate,,,,,,,,,,,
Guild Street,,,,,,,,,,,
Northern Dock City Gate,,,,,,,,,,,
Market Place,,,,,,,,,,,
"	Harbor Slum",,,,,,,,,,,
Harbor,,,,,,,,,,,
Park,,,,,,,,,,,
auction house,,,,,,,,,,,
"	fish shop",,,,,,,,,,,
city hall,,,,,,,,,,,
"	casino",,,,,,,,,,,
"	pub",,,,,,,,,,,
Eastern Dock City Gate,,,,,,,,,,,
"	Western Court ",,,,,,,,,,,
Western Outpost Gate,,,,,,,,,,,
Office of the Leader,,,,,,,,,,,
Sleeping Room,,,,,,,,,,,
"	Storage Room ",,,,,,,,,,,
Northern Court ,,,,,,,,,,,
Hall ,,,,,,,,,,,
Armory(no east),,,,,,,,,,,
Kitchen,,,,,,,,,,,
Dinner Room (no east),,,,,,,,,,,
Tower,,,,,,,,,,,
